Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Glycerol [SIBO:0000001]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Urea [SIBO:0000003]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	2-Quinolinecarbixylic acid [SIBO:0000005]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	13-Methylheptacosane [SIBO:0000167]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	3-Methylheptacosane [SIBO:0000168]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	13, 15-Dimethylheptacosane [SIBO:0000169]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	n-Heptacosane [SIBO:0000170]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Benzoic acid [SIBO:0000171]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Malic Acid [SIBO:0000172]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Malonic Acid [SIBO:0000175]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Organic Acids [SIBO:0000178]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Uric acid [SIBO:0000179]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Gluconic acid [SIBO:0000180]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Azelaic acid [SIBO:0000181]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
ERROR	duplicate_definition	Stearic acid [SIBO:0000182]	IAO_0000115 [IAO:0000115]	Profile of ant-derived compounds in silica gel nesting material.	
