Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	kilo [UO:0000294]	IAO_0000115 [IAO:0000115]	A prefix in the metric system denoting a factor of one thousand.	
ERROR	duplicate_definition	milli [UO:0000297]	IAO_0000115 [IAO:0000115]	A prefix in the metric system denoting a factor of one thousand.	
ERROR	duplicate_definition	hecto [UO:0000287]	IAO_0000115 [IAO:0000115]	A prefix in the metric system denoting a factor of one hundred.	
ERROR	duplicate_definition	centi [UO:0000298]	IAO_0000115 [IAO:0000115]	A prefix in the metric system denoting a factor of one hundred.	
ERROR	missing_ontology_description	uo.owl	dc11:description		
ERROR	duplicate_label	ratio [UO:0000190]	label [rdfs:label]	ratio	
ERROR	duplicate_label	ratio [UO:0010006]	label [rdfs:label]	ratio	
ERROR	duplicate_label	milli [UO:0000297]	label [rdfs:label]	milli	
ERROR	duplicate_label	milli [UO:0010009]	label [rdfs:label]	milli	
ERROR	missing_ontology_license	uo.owl	dc:license		
ERROR	missing_ontology_title	uo.owl	dc11:title		
WARN	annotation_whitespace	siemens [UO:0000264]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	mho 	
WARN	annotation_whitespace	electric field strength unit [UO:0000267]	hasExactSynonym [oboInOwl:hasExactSynonym]	E-field strength 	
WARN	duplicate_exact_synonym	micrometer [UO:0000017]	hasExactSynonym [oboInOwl:hasExactSynonym]	um	
WARN	duplicate_exact_synonym	micromolal [UO:0000070]	hasExactSynonym [oboInOwl:hasExactSynonym]	um	
WARN	duplicate_exact_synonym	tesla [UO:0000228]	hasExactSynonym [oboInOwl:hasExactSynonym]	T	
WARN	duplicate_exact_synonym	tera [UO:0000291]	hasExactSynonym [oboInOwl:hasExactSynonym]	T	
WARN	duplicate_exact_synonym	picometer [UO:0000020]	hasExactSynonym [oboInOwl:hasExactSynonym]	pm	
WARN	duplicate_exact_synonym	picomolal [UO:0000072]	hasExactSynonym [oboInOwl:hasExactSynonym]	pm	
WARN	duplicate_exact_synonym	poise [UO:0000258]	hasExactSynonym [oboInOwl:hasExactSynonym]	P	
WARN	duplicate_exact_synonym	peta [UO:0000290]	hasExactSynonym [oboInOwl:hasExactSynonym]	P	
WARN	duplicate_exact_synonym	nanometer [UO:0000018]	hasExactSynonym [oboInOwl:hasExactSynonym]	nm	
WARN	duplicate_exact_synonym	nanomolal [UO:0000071]	hasExactSynonym [oboInOwl:hasExactSynonym]	nm	
WARN	duplicate_exact_synonym	normal [UO:0000075]	hasExactSynonym [oboInOwl:hasExactSynonym]	N	
WARN	duplicate_exact_synonym	newton [UO:0000108]	hasExactSynonym [oboInOwl:hasExactSynonym]	N	
WARN	duplicate_exact_synonym	nano [UO:0000300]	hasExactSynonym [oboInOwl:hasExactSynonym]	n	
WARN	duplicate_exact_synonym	pico [UO:0000302]	hasExactSynonym [oboInOwl:hasExactSynonym]	n	
WARN	duplicate_exact_synonym	millimeter [UO:0000016]	hasExactSynonym [oboInOwl:hasExactSynonym]	mm	
WARN	duplicate_exact_synonym	millimolal [UO:0000069]	hasExactSynonym [oboInOwl:hasExactSynonym]	mm	
WARN	duplicate_exact_synonym	millimeter [UO:0000016]	hasExactSynonym [oboInOwl:hasExactSynonym]	micrometre	
WARN	duplicate_exact_synonym	micrometer [UO:0000017]	hasExactSynonym [oboInOwl:hasExactSynonym]	micrometre	
WARN	duplicate_exact_synonym	meter [UO:0000008]	hasExactSynonym [oboInOwl:hasExactSynonym]	m	
WARN	duplicate_exact_synonym	molar [UO:0000062]	hasExactSynonym [oboInOwl:hasExactSynonym]	M	
WARN	duplicate_exact_synonym	molal [UO:0000068]	hasExactSynonym [oboInOwl:hasExactSynonym]	m	
WARN	duplicate_exact_synonym	mega [UO:0000293]	hasExactSynonym [oboInOwl:hasExactSynonym]	M	
WARN	duplicate_exact_synonym	milli [UO:0000297]	hasExactSynonym [oboInOwl:hasExactSynonym]	m	
WARN	duplicate_exact_synonym	hour [UO:0000032]	hasExactSynonym [oboInOwl:hasExactSynonym]	h	
WARN	duplicate_exact_synonym	hecto [UO:0000287]	hasExactSynonym [oboInOwl:hasExactSynonym]	h	
WARN	duplicate_exact_synonym	degree Celsius [UO:0000027]	hasExactSynonym [oboInOwl:hasExactSynonym]	C	
WARN	duplicate_exact_synonym	coulomb [UO:0000220]	hasExactSynonym [oboInOwl:hasExactSynonym]	C	
WARN	duplicate_exact_synonym	metric cup [UO:0010045]	hasExactSynonym [oboInOwl:hasExactSynonym]	C	
