Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	MF.owl	dc11:description		
ERROR	multiple_definitions	judging [MF:0000006]	IAO_0000115 [IAO:0000115]	A mental process during which a decision is made and the outcome of which is a belief or opinion.	
ERROR	multiple_definitions	judging [MF:0000006]	IAO_0000115 [IAO:0000115]	Judging is the evaluation of evidence to make a decision or form a belief.	
ERROR	multiple_definitions	imagination [MF:0000015]	IAO_0000115 [IAO:0000115]	A mental process that manipulates mental images and words that go beyond mere memory and thoughts about the objects and entities that the person has encountered, to visualise or consider entities and states of affairs that the person has never encountered and which may not yet exist or obtain in the world.	
ERROR	multiple_definitions	imagination [MF:0000015]	IAO_0000115 [IAO:0000115]	Imagination is the capacity to produce images, ideas and sensations in the mind without any immediate input of the senses (such as seeing or hearing).	
ERROR	multiple_definitions	planning [MF:0000027]	IAO_0000115 [IAO:0000115]	A mental process that involves mentally manipulating representations of steps in an imagined process which has some objective, e.g. to bring about a desired state of affairs. The outcome of this mental process is a plan which has the potential to be followed to bring about the desired outcome.	
ERROR	multiple_definitions	planning [MF:0000027]	IAO_0000115 [IAO:0000115]	Planning is the process of thinking about the activities required to achieve a desired goal. It involves the creation and maintenance of a plan, such as psychological aspects that require conceptual skills.	
ERROR	multiple_definitions	wanting [MF:0000045]	IAO_0000115 [IAO:0000115]	A mental process that involves thinking about a state of affairs that does not yet obtain together with a desire for that state of affairs to obtain.	
ERROR	multiple_definitions	wanting [MF:0000045]	IAO_0000115 [IAO:0000115]	Wanting is a mental process that includes a feeling of longing towards some future state of affairs.	
ERROR	missing_ontology_license	MF.owl	dc:license		
WARN	annotation_whitespace	mental process [MF:0000020]	IAO_0000115 [IAO:0000115]	A mental process is a bodily process that is of a type such that it can of itself be conscious. Examples include thinking, feeling pain, remembering and emotion as occurrent experiences. 	
WARN	annotation_whitespace	irascibility [MF:0000029]	IAO_0000115 [IAO:0000115]	A mental disposition to frequent or easily incited outbursts of anger. 	
WARN	annotation_whitespace	mental disposition [MF:0000033]	IAO_0000115 [IAO:0000115]	A mental disposition is a bodily disposition that is realized in a mental process. 	
WARN	annotation_whitespace	personality trait [MF:0000203]	IAO_0000115 [IAO:0000115]	A personality trait is an individual disposition or predisposition that forms part of an overall personality and is realized in repeated occurrences of a specific mental process type or behavioural profile. 	
WARN	missing_definition	disposition to be agent of mental process [MF:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mental counting [MF:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mental calculation [MF:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	determining orientation [MF:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mathematical problem solving behavior [MF:0000010]	IAO_0000115 [IAO:0000115]		
