IRI	Label	Issue
http://purl.obolibrary.org/obo/SEPIO_0000109	expresses	shares label with http://purl.obolibrary.org/obo/RO_0002292
http://purl.obolibrary.org/obo/SEPIO_0000006	has_evidence_line	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000007	has_supporting_evidence_line	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000008	has_disputing_evidence_line	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000009	has_inconclusive_evidence_line	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000015	is_asserted_in	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000017	has_agent	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000026	assertion_has_subject	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000027	assertion_has_object	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000028	assertion_has_predicate	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000030	asserts	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000041	is_specified_by	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000046	has_role	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000084	has_evidence_item	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000085	has_supporting_activity	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000086	deprecatedobjectproperty	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000098	is_equilavent_to	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000099	is_consistent_with	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000100	strongly_contradicts	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000101	contradicts	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000108	is_expressed_in	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000113	has_compatability	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000114	measures_parameter	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000115	conflicts_with	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000116	aligns_with	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000124	has_supporting_reference	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000126	is_inconsistent_with	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000130	asserted_by	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000132	evidence_has_strength	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000140	evaluated_by	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000144	has_qualifier	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000145	has_evidence_from_source	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000146	has_evidence_with_strength	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000150	has_contributor	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000151	assertion_validated_by	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000152	evidence_strength_assessed_by	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000159	qualified_contribution	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000167	assertion_confidence_level	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000169	made_on_behalf_of	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000178	is_described_by	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000183	evidence direction	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000188	contributed_to	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000189	has_supporting_data	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000197	asserted_conclusion	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000232	has_quantifier	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000255	has_supporting_method	not an RO property
http://purl.obolibrary.org/obo/SEPIO_0000257	describes_data_item	not an RO property
