Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	name of biobank contact person [OMIABIS:0000014]	IAO_0000115 [IAO:0000115]	A personal name that designates the person acting as contact for a sample collection or a study.@en	
ERROR	duplicate_definition	name of sample collection or study contact person [OMIABIS:0000039]	IAO_0000115 [IAO:0000115]	A personal name that designates the person acting as contact for a sample collection or a study.@en	
ERROR	missing_label	APOLLO_SV_00000032 [APOLLO:SV:00000032]	label [rdfs:label]		
ERROR	misused_obsolete_label	obsolete_survey data [OMIABIS:0001003]	label [rdfs:label]	obsolete_survey data@en	
ERROR	missing_ontology_description	omiabis.owl	dc11:description		
ERROR	multiple_definitions	biobank organization [OMIABIS:0000010]	IAO_0000115 [IAO:0000115]	An organization bearing legal personality that ownes or adminstrates a biobank.	
ERROR	multiple_definitions	biobank organization [OMIABIS:0000010]	IAO_0000115 [IAO:0000115]	An organization bearing legal personality that ownes or adminstrates a biobank.@en	
ERROR	multiple_definitions	contacting [OMIABIS:0000011]	IAO_0000115 [IAO:0000115]	A planned process that involves a human being and is intended to initiate a communication with another human being.@en	
ERROR	multiple_definitions	contacting [OMIABIS:0000011]	IAO_0000115 [IAO:0000115]	Contacting is the process of one human being starting a communication process with another human being. Contacting can be done using all modes of communication used by humans.	
ERROR	multiple_definitions	department of sample collection or study contact [OMIABIS:0000040]	IAO_0000115 [IAO:0000115]	A department that has a contact person for a sample collection or a study as an organizational member.@en	
ERROR	multiple_definitions	department of sample collection or study contact [OMIABIS:0000040]	IAO_0000115 [IAO:0000115]	Mathias Brochhausen	
ERROR	multiple_definitions	intra-settlement specification part of address of sample collection or study contact [OMIABIS:0000043]	IAO_0000115 [IAO:0000115]	An intra-settlement specification part of address that is part of a sample collection or study contact's postal address.@en	
ERROR	multiple_definitions	intra-settlement specification part of address of sample collection or study contact [OMIABIS:0000043]	IAO_0000115 [IAO:0000115]	Sample Collection/Study contact address@en	
ERROR	multiple_definitions	biobank contact role [OMIABIS:0000093]	IAO_0000115 [IAO:0000115]	A contact role borne by a member of a biobank organization and realized by serving as the contact for one of its biobanks.@en	
ERROR	multiple_definitions	biobank contact role [OMIABIS:0000093]	IAO_0000115 [IAO:0000115]	A contact role borne by a member of a sample collection or study organization and realized by serving as the contact for the collection or the study.@en	
ERROR	multiple_definitions	omics experiment on specimen [OMIABIS:0001014]	IAO_0000115 [IAO:0000115]	An objective specification that aims at the collective characterization and quantification of pools of biological molecules that translate into the structure, function, and dynamics of an organism or organisms.@en	
ERROR	multiple_definitions	omics experiment on specimen [OMIABIS:0001014]	IAO_0000115 [IAO:0000115]	Technologies that measure some characteristic of a large family of cellular molecules, such as genes, proteins, or small metabolites, have been named by appending the suffix \"-omics,\" as in \"genomics.\" Omics refers to the collective technologies used to explore the roles, relationships, and actions of the various types of molecules that make up the cells of an organism.        @en	
ERROR	missing_ontology_license	omiabis.owl	dc:license		
ERROR	label_whitespace	date of data entry  [OMIABIS:0001004]	label [rdfs:label]	date of data entry @en	
WARN	annotation_whitespace	owns [OMIABIS:0000008]	IAO_0000600 [IAO:0000600]	This is a primitive relation. This relation is the foundation to the owners right to have the owned entity at his/her full disposal. @en	
WARN	annotation_whitespace	fixation [OMIABIS:0000911]	IAO_0000115 [IAO:0000115]	A material processing that uses chemical process by which biological tissues are preserved from decay. Fixation terminates any ongoing biochemical reactions and may increase stability of the treated tissues. @en	
WARN	annotation_whitespace	obsolete_survey data [OMIABIS:0001003]	IAO_0000115 [IAO:0000115]	A data set that contains additional information about a group of individuals and is gathered through a survey. @en	
WARN	annotation_whitespace	date of data entry  [OMIABIS:0001004]	IAO_0000115 [IAO:0000115]	A data item that indicates the time when data about the sample collection was reported into a database. @en	
WARN	annotation_whitespace	number of sampled human study participants objective [OMIABIS:0001015]	IAO_0000115 [IAO:0000115]	An objective specification that specifies the number of individuals to participate in a study and provide biological specimens to the study. @en	
WARN	annotation_whitespace	study subject survey data [OMIABIS:0001032]	IAO_0000115 [IAO:0000115]	A survey data for a specimen donor. @en	
WARN	annotation_whitespace	sample collection data update [OMIABIS:0001034]	IAO_0000115 [IAO:0000115]	A planned process which involves editing of specimen collection data into a database after its initial entry. @en	
WARN	annotation_whitespace	specimen surgical removal [OMIABIS:0001044]	IAO_0000115 [IAO:0000115]	A collecting specimen from organism process that involves removing the specimen from an individual through a surgical procedure. @en	
WARN	duplicate_exact_synonym	ISO 3166-1 alpha-2 code for biobank contact person [OMIABIS:0000028]	IAO_0000118 [IAO:0000118]	Biobank country code@en	
WARN	duplicate_exact_synonym	biobank location ISO 3166-1 alpha-2 code [OMIABIS:0000045]	IAO_0000118 [IAO:0000118]	Biobank country code@en	
WARN	missing_definition	APOLLO_SV_00000032 [APOLLO:SV:00000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sample collection or study contact role [OMIABIS:0000094]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	comment from tissue procurement [OMIABIS:0001037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	specimen meeting specification [OMIABIS:0001040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	specimen donor [OMIABIS:0001079]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	administrates [OMIABIS:0000009]	IAO_0000115 [IAO:0000115]	a administrates b if c owns b and some rights and obligations grounded in the owning relation regarding b are transferred  from c to a.@en	
INFO	lowercase_definition	is contact information about [OMIABIS:0000042]	IAO_0000115 [IAO:0000115]	a is contact information for b, if a is a information content entity, b is a human being or an organization and a identifies a physical location or electronic resource that allows to initiate communication with a.@en	
INFO	lowercase_definition	is owned by [OMIABIS:0000048]	IAO_0000115 [IAO:0000115]	a is owned by b if b has complete power over a. All rights and obligations of ownership are grounded in this (primitive) relation. The claims and obligations of ownership can be partially transferred to a third party by the owner, b.@en	
INFO	lowercase_definition	addition of molecular label [OMIABIS:0000912]	IAO_0000115 [IAO:0000115]	a material processing technique intended to add a molecular label to some input material entity, to allow detection of the molecular target of this label in a detection of molecular label assay@en	
INFO	missing_superclass	APOLLO_SV_00000032 [APOLLO:SV:00000032]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000023 [BFO:0000023]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000027 [BFO:0000027]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000034 [BFO:0000034]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000035 [BFO:0000035]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000038 [BFO:0000038]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000040 [BFO:0000040]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000148 [BFO:0000148]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000182 [BFO:0000182]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16842 [CHEBI:16842]	rdfs:subClassOf		
INFO	missing_superclass	GAZ_00000448 [GAZ:00000448]	rdfs:subClassOf		
INFO	missing_superclass	GEO_000000006 [GEO:000000006]	rdfs:subClassOf		
INFO	missing_superclass	GEO_000000396 [GEO:000000396]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000005 [IAO:0000005]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000027 [IAO:0000027]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000029 [IAO:0000029]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000030 [IAO:0000030]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000100 [IAO:0000100]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000104 [IAO:0000104]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000109 [IAO:0000109]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000140 [IAO:0000140]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000178 [IAO:0000178]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000300 [IAO:0000300]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000310 [IAO:0000310]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000408 [IAO:0000408]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000416 [IAO:0000416]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000422 [IAO:0000422]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000429 [IAO:0000429]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000577 [IAO:0000577]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000578 [IAO:0000578]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0020000 [IAO:0020000]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0020015 [IAO:0020015]	rdfs:subClassOf		
INFO	missing_superclass	NCBITaxon_9606 [NCBITaxon:9606]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000011 [OBI:0000011]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000094 [OBI:0000094]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000097 [OBI:0000097]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000102 [OBI:0000102]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000103 [OBI:0000103]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000245 [OBI:0000245]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000456 [OBI:0000456]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000471 [OBI:0000471]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000659 [OBI:0000659]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000679 [OBI:0000679]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000838 [OBI:0000838]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000915 [OBI:0000915]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000922 [OBI:0000922]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000953 [OBI:0000953]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000971 [OBI:0000971]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0001936 [OBI:0001936]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0100026 [OBI:0100026]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0100051 [OBI:0100051]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0302893 [OBI:0302893]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0302914 [OBI:0302914]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0500000 [OBI:0500000]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0600005 [OBI:0600005]	rdfs:subClassOf		
INFO	missing_superclass	OBI_1110087 [OBI:1110087]	rdfs:subClassOf		
INFO	missing_superclass	OBI_1110109 [OBI:1110109]	rdfs:subClassOf		
INFO	missing_superclass	OGMS_0000031 [OGMS:0000031]	rdfs:subClassOf		
INFO	missing_superclass	OGMS_0000045 [OGMS:0000045]	rdfs:subClassOf		
INFO	missing_superclass	OGMS_0000073 [OGMS:0000073]	rdfs:subClassOf		
INFO	missing_superclass	OGMS_0000090 [OGMS:0000090]	rdfs:subClassOf		
INFO	missing_superclass	hosted study collection [OMIABIS:0000033]	rdfs:subClassOf		
INFO	missing_superclass	OMRSE_00000024 [OMRSE:00000024]	rdfs:subClassOf		
INFO	missing_superclass	OMRSE_00000038 [OMRSE:00000038]	rdfs:subClassOf		
INFO	missing_superclass	REO_0000280 [REO:0000280]	rdfs:subClassOf		
INFO	missing_superclass	ObsoleteClass [oboInOwl:ObsoleteClass]	rdfs:subClassOf		
